date,item,value
1959-03-31 00:00:00,realgdp,2710.349 
1959-03-31 00:00:00,infl,0.000 
1959-03-31 00:00:00,unemp,5.800 
1959-06-30 00:00:00,realgdp,277.801 
1959-06-30 00:00:00,infl,2.340 
1959-06-30 00:00:00,unemp,5.100 
1959-09-30 00:00:00,realgdp,2775.488 
1959-09-30 00:00:00,infl,2.740 
1959-09-30 00:00:00,unemp,5.300 
1959-12-31 00:00:00,realgdp,2785.204 
1959-12-31 00:00:00,infl,2.513 
1959-12-31 00:00:00,unemp,5.407 
1960-03-31 00:00:00,realgdp,2739.373 
1960-03-31 00:00:00,infl,2.456 
1960-03-31 00:00:00,unemp,5.497 
1960-06-30 00:00:00,realgdp,2729.370 
1960-06-30 00:00:00,infl,2.140 
1960-06-30 00:00:00,unemp,5.217 
1960-09-30 00:00:00,realgdp,2745.509 
1960-09-30 00:00:00,infl,2.016 
1960-09-30 00:00:00,unemp,5.510 
1960-12-31 00:00:00,realgdp,2718.240 
1960-12-31 00:00:00,infl,2.155 
1960-12-31 00:00:00,unemp,5.034 
1961-03-31 00:00:00,realgdp,2766.603 
1961-03-31 00:00:00,infl,2.105 
1961-03-31 00:00:00,unemp,5.074 
1961-06-30 00:00:00,realgdp,2770.321 
1961-06-30 00:00:00,infl,2.138 
1961-06-30 00:00:00,unemp,5.004 
1961-09-30 00:00:00,realgdp,2752.619 
1961-09-30 00:00:00,infl,2.893 
1961-09-30 00:00:00,unemp,5.105 
1961-12-31 00:00:00,realgdp,2717.881 
1961-12-31 00:00:00,infl,2.463 
1961-12-31 00:00:00,unemp,5.393 
1962-03-31 00:00:00,realgdp,2797.058 
1962-03-31 00:00:00,infl,2.079 
1962-03-31 00:00:00,unemp,5.858 
1962-06-30 00:00:00,realgdp,2784.928 
1962-06-30 00:00:00,infl,2.992 
1962-06-30 00:00:00,unemp,5.354 
1962-09-30 00:00:00,realgdp,2799.073 
1962-09-30 00:00:00,infl,2.254 
1962-09-30 00:00:00,unemp,5.492 
1962-12-31 00:00:00,realgdp,2721.836 
1962-12-31 00:00:00,infl,2.870 
1962-12-31 00:00:00,unemp,5.142 
1963-03-31 00:00:00,realgdp,2724.450 
1963-03-31 00:00:00,infl,2.251 
1963-03-31 00:00:00,unemp,5.671 
1963-06-30 00:00:00,realgdp,2727.464 
1963-06-30 00:00:00,infl,2.905 
1963-06-30 00:00:00,unemp,5.959 
1963-09-30 00:00:00,realgdp,2773.771 
1963-09-30 00:00:00,infl,2.293 
1963-09-30 00:00:00,unemp,5.933 
