data	item	value		
1959-03-31 00:00:00	realgdp	2710.349 		
1959-03-31 00:00:00	infl	0.000 		
1959-03-31 00:00:00	unemp	5.800 		
1959-06-30 00:00:00	realgdp	277.801 		
1959-06-30 00:00:00	infl	2.340 		
1959-06-30 00:00:00	unemp	5.100 		
1959-09-30 00:00:00	realgdp	2775.488 		
1959-09-30 00:00:00	infl	2.740 		
1959-09-30 00:00:00	unemp	5.300 		
1959-12-31 00:00:00	realgdp	2785.200 		
1959-12-31 00:00:00	infl	2.553 		
1959-12-31 00:00:00	unemp	5.363 		
1960-03-31 00:00:00	realgdp	2745.356 		
1960-03-31 00:00:00	infl	2.658 		
1960-03-31 00:00:00	unemp	5.660 		
1960-06-30 00:00:00	realgdp	2741.194 		
1960-06-30 00:00:00	infl	2.990 		
1960-06-30 00:00:00	unemp	5.124 		
1960-09-30 00:00:00	realgdp	2776.344 		
1960-09-30 00:00:00	infl	2.767 		
1960-09-30 00:00:00	unemp	5.989 		
1960-12-31 00:00:00	realgdp	2702.405 		
1960-12-31 00:00:00	infl	2.268 		
1960-12-31 00:00:00	unemp	5.475 		
1961-03-31 00:00:00	realgdp	2745.933 		
1961-03-31 00:00:00	infl	2.409 		
1961-03-31 00:00:00	unemp	5.657 		
1961-06-30 00:00:00	realgdp	2790.423 		
1961-06-30 00:00:00	infl	2.767 		
1961-06-30 00:00:00	unemp	5.269 		
1961-09-30 00:00:00	realgdp	2797.978 		
1961-09-30 00:00:00	infl	2.974 		
1961-09-30 00:00:00	unemp	5.853 		
1961-12-31 00:00:00	realgdp	2771.623 		
1961-12-31 00:00:00	infl	2.569 		
1961-12-31 00:00:00	unemp	5.545 		
1962-03-31 00:00:00	realgdp	2748.850 		
1962-03-31 00:00:00	infl	2.163 		
1962-03-31 00:00:00	unemp	5.222 		
1962-06-30 00:00:00	realgdp	2741.519 		
1962-06-30 00:00:00	infl	2.624 		
1962-06-30 00:00:00	unemp	5.058 		
1962-09-30 00:00:00	realgdp	2724.186 		
1962-09-30 00:00:00	infl	2.630 		
1962-09-30 00:00:00	unemp	5.711 		
1962-12-31 00:00:00	realgdp	2738.410 		
1962-12-31 00:00:00	infl	2.691 		
1962-12-31 00:00:00	unemp	5.622 		
1963-03-31 00:00:00	realgdp	2723.358 		
1963-03-31 00:00:00	infl	2.354 		
1963-03-31 00:00:00	unemp	5.447 		
1963-06-30 00:00:00	realgdp	2776.621 		
1963-06-30 00:00:00	infl	2.012 		
1963-06-30 00:00:00	unemp	5.982 		
